freq_hz,gain_db
14500000000,17.800000
14510000000,17.804133
14520000000,17.808267
14530000000,17.812400
14540000000,17.816533
14550000000,17.820667
14560000000,17.824800
14570000000,17.828933
14580000000,17.833067
14590000000,17.837200
14600000000,17.841333
14610000000,17.845467
14620000000,17.849600
14630000000,17.853733
14640000000,17.857867
14650000000,17.862000
14660000000,17.866133
14670000000,17.870267
14680000000,17.874400
14690000000,17.878533
14700000000,17.882667
14710000000,17.886800
14720000000,17.890933
14730000000,17.895067
14740000000,17.899200
14750000000,17.903333
14760000000,17.907467
14770000000,17.911600
14780000000,17.915733
14790000000,17.919867
14800000000,17.924000
14810000000,17.928133
14820000000,17.932267
14830000000,17.936400
14840000000,17.940533
14850000000,17.944667
14860000000,17.948800
14870000000,17.952933
14880000000,17.957067
14890000000,17.961200
14900000000,17.965333
14910000000,17.969467
14920000000,17.973600
14930000000,17.977733
14940000000,17.981867
14950000000,17.986000
14960000000,17.990133
14970000000,17.994267
14980000000,17.998400
14990000000,18.002533
15000000000,18.006667
15010000000,18.010800
15020000000,18.014933
15030000000,18.019067
15040000000,18.023200
15050000000,18.027333
15060000000,18.031467
15070000000,18.035600
15080000000,18.039733
15090000000,18.043867
15100000000,18.048000
15110000000,18.052133
15120000000,18.056267
15130000000,18.060400
15140000000,18.064533
15150000000,18.068667
15160000000,18.072800
15170000000,18.076933
15180000000,18.081067
15190000000,18.085200
15200000000,18.089333
15210000000,18.093467
15220000000,18.097600
15230000000,18.101733
15240000000,18.105867
15250000000,18.110000
15260000000,18.114133
15270000000,18.118267
15280000000,18.122400
15290000000,18.126533
15300000000,18.130667
15310000000,18.134800
15320000000,18.138933
15330000000,18.143067
15340000000,18.147200
15350000000,18.151333
15360000000,18.155467
15370000000,18.159600
15380000000,18.163733
15390000000,18.167867
15400000000,18.172000
15410000000,18.176133
15420000000,18.180267
15430000000,18.184400
15440000000,18.188533
15450000000,18.192667
15460000000,18.196800
15470000000,18.200933
15480000000,18.205067
15490000000,18.209200
15500000000,18.213333
15510000000,18.217467
15520000000,18.221600
15530000000,18.225733
15540000000,18.229867
15550000000,18.234000
15560000000,18.238133
15570000000,18.242267
15580000000,18.246400
15590000000,18.250533
15600000000,18.254667
15610000000,18.258800
15620000000,18.262933
15630000000,18.267067
15640000000,18.271200
15650000000,18.275333
15660000000,18.279467
15670000000,18.283600
15680000000,18.287733
15690000000,18.291867
15700000000,18.296000
15710000000,18.300133
15720000000,18.304267
15730000000,18.308400
15740000000,18.312533
15750000000,18.316667
15760000000,18.320800
15770000000,18.324933
15780000000,18.329067
15790000000,18.333200
15800000000,18.337333
15810000000,18.341467
15820000000,18.345600
15830000000,18.349733
15840000000,18.353867
15850000000,18.358000
15860000000,18.362133
15870000000,18.366267
15880000000,18.370400
15890000000,18.374533
15900000000,18.378667
15910000000,18.382800
15920000000,18.386933
15930000000,18.391067
15940000000,18.395200
15950000000,18.399333
15960000000,18.403467
15970000000,18.407600
15980000000,18.411733
15990000000,18.415867
16000000000,18.420000
16010000000,18.424133
16020000000,18.428267
16030000000,18.432400
16040000000,18.436533
16050000000,18.440667
16060000000,18.444800
16070000000,18.448933
16080000000,18.453067
16090000000,18.457200
16100000000,18.461333
16110000000,18.465467
16120000000,18.469600
16130000000,18.473733
16140000000,18.477867
16150000000,18.482000
16160000000,18.486133
16170000000,18.490267
16180000000,18.494400
16190000000,18.498533
16200000000,18.502667
16210000000,18.506800
16220000000,18.510933
16230000000,18.515067
16240000000,18.519200
16250000000,18.523333
16260000000,18.527467
16270000000,18.531600
16280000000,18.535733
16290000000,18.539867
16300000000,18.544000
16310000000,18.548133
16320000000,18.552267
16330000000,18.556400
16340000000,18.560533
16350000000,18.564667
16360000000,18.568800
16370000000,18.572933
16380000000,18.577067
16390000000,18.581200
16400000000,18.585333
16410000000,18.589467
16420000000,18.593600
16430000000,18.597733
16440000000,18.601867
16450000000,18.606000
16460000000,18.610133
16470000000,18.614267
16480000000,18.618400
16490000000,18.622533
16500000000,18.626667
16510000000,18.630800
16520000000,18.634933
16530000000,18.639067
16540000000,18.643200
16550000000,18.647333
16560000000,18.651467
16570000000,18.655600
16580000000,18.659733
16590000000,18.663867
16600000000,18.668000
16610000000,18.672133
16620000000,18.676267
16630000000,18.680400
16640000000,18.684533
