freq_hz,gain_db
14500000000,11.400000
14510000000,11.406000
14520000000,11.412000
14530000000,11.418000
14540000000,11.424000
14550000000,11.430000
14560000000,11.436000
14570000000,11.442000
14580000000,11.448000
14590000000,11.454000
14600000000,11.460000
14610000000,11.466000
14620000000,11.472000
14630000000,11.478000
14640000000,11.484000
14650000000,11.490000
14660000000,11.496000
14670000000,11.502000
14680000000,11.508000
14690000000,11.514000
14700000000,11.520000
14710000000,11.526000
14720000000,11.532000
14730000000,11.538000
14740000000,11.544000
14750000000,11.550000
14760000000,11.556000
14770000000,11.562000
14780000000,11.568000
14790000000,11.574000
14800000000,11.580000
14810000000,11.586000
14820000000,11.592000
14830000000,11.598000
14840000000,11.604000
14850000000,11.610000
14860000000,11.616000
14870000000,11.622000
14880000000,11.628000
14890000000,11.634000
14900000000,11.640000
14910000000,11.646000
14920000000,11.652000
14930000000,11.658000
14940000000,11.664000
14950000000,11.670000
14960000000,11.676000
14970000000,11.682000
14980000000,11.688000
14990000000,11.694000
15000000000,11.700000
15010000000,11.706000
15020000000,11.712000
15030000000,11.718000
15040000000,11.724000
15050000000,11.730000
15060000000,11.736000
15070000000,11.742000
15080000000,11.748000
15090000000,11.754000
15100000000,11.760000
15110000000,11.766000
15120000000,11.772000
15130000000,11.778000
15140000000,11.784000
15150000000,11.790000
15160000000,11.796000
15170000000,11.802000
15180000000,11.808000
15190000000,11.814000
15200000000,11.820000
15210000000,11.826000
15220000000,11.832000
15230000000,11.838000
15240000000,11.844000
15250000000,11.850000
15260000000,11.856000
15270000000,11.862000
15280000000,11.868000
15290000000,11.874000
15300000000,11.880000
15310000000,11.886000
15320000000,11.892000
15330000000,11.898000
15340000000,11.904000
15350000000,11.910000
15360000000,11.916000
15370000000,11.922000
15380000000,11.928000
15390000000,11.934000
15400000000,11.940000
15410000000,11.946000
15420000000,11.952000
15430000000,11.958000
15440000000,11.964000
15450000000,11.970000
15460000000,11.976000
15470000000,11.982000
15480000000,11.988000
15490000000,11.994000
15500000000,12.000000
15510000000,12.006000
15520000000,12.012000
15530000000,12.018000
15540000000,12.024000
15550000000,12.030000
15560000000,12.036000
15570000000,12.042000
15580000000,12.048000
15590000000,12.054000
15600000000,12.060000
15610000000,12.066000
15620000000,12.072000
15630000000,12.078000
15640000000,12.084000
15650000000,12.090000
15660000000,12.096000
15670000000,12.102000
15680000000,12.108000
15690000000,12.114000
15700000000,12.120000
15710000000,12.126000
15720000000,12.132000
15730000000,12.138000
15740000000,12.144000
15750000000,12.150000
15760000000,12.156000
15770000000,12.162000
15780000000,12.168000
15790000000,12.174000
15800000000,12.180000
15810000000,12.186000
15820000000,12.192000
15830000000,12.198000
15840000000,12.204000
15850000000,12.210000
15860000000,12.216000
15870000000,12.222000
15880000000,12.228000
15890000000,12.234000
15900000000,12.240000
15910000000,12.246000
15920000000,12.252000
15930000000,12.258000
15940000000,12.264000
15950000000,12.270000
15960000000,12.276000
15970000000,12.282000
15980000000,12.288000
15990000000,12.294000
16000000000,12.300000
16010000000,12.306000
16020000000,12.312000
16030000000,12.318000
16040000000,12.324000
16050000000,12.330000
16060000000,12.336000
16070000000,12.342000
16080000000,12.348000
16090000000,12.354000
16100000000,12.360000
16110000000,12.366000
16120000000,12.372000
